api8,lease_name,well_no,actual_test_oil_bbl,hyperbolic_forecast_test_oil_bbl,hyperbolic_error_bbl,hyperbolic_percent_error,hyperbolic_absolute_percent_error,hyperbolic_qi_bbl_per_month,hyperbolic_di_per_month,hyperbolic_di_percent_per_month,hyperbolic_b_factor
31744055,DAVIS-LACY 31K,211H,49251.0,15287.788776497157,-33963.21122350285,-68.95943478001024,68.95943478001024,57064.44981786477,0.1581818181818182,15.81818181818182,0.1387755102040816
31744070,DAVIS-LACY 31C,203H,22233.0,8509.39676958153,-13723.60323041847,-61.726277292396304,61.726277292396304,23618.308361766343,0.1219090909090909,12.190909090909091,0.05
31743757,GLYNN-ATCHISON 44M,213H,35704.0,17841.876108202727,-17862.123891797273,-50.0283550632906,50.0283550632906,13762.116992523494,0.4,40.0,1.5
31743755,GLYNN-ATCHISON 44N,214H,46559.0,23537.87953314885,-23021.120466851145,-49.44504922109827,49.44504922109827,96328.90480559463,0.2347575757575757,23.475757575757576,0.3163265306122448
31744067,DAVIS-LACY 31F,206H,38239.0,19420.193084320505,-18818.80691567949,-49.21364814895655,49.21364814895655,96107.0886218586,0.2105757575757576,21.05757575757576,0.2275510204081632
31744058,DAVIS-LACY 31H,208H,16956.0,9908.705202724432,-7047.294797275568,-41.56224815567096,41.56224815567096,36730.59023825317,0.134,13.4,0.05
31743171,BOHANAN-BLOCKER 3B,4H,36835.0,23257.641480284496,-13577.358519715504,-36.85993897031493,36.85993897031493,35669.86797962791,0.0977272727272727,9.772727272727275,0.05
31744066,EPLEY-MARTIN 31K,111H,38148.0,25603.704354628702,-12544.295645371294,-32.88323279168316,32.88323279168316,43408.64360178701,0.1017575757575757,10.175757575757578,0.05
31744057,DAVIS-LACY 31I,209H,55854.0,37686.963839066186,-18167.03616093381,-32.525935762763304,32.525935762763304,68834.78168405539,0.4,40.0,0.8489795918367347
31744053,EPLEY-MARTIN 31D,104H,36143.0,25025.700865382296,-11117.299134617704,-30.75920409102096,30.75920409102096,16851.03347257945,0.0654848484848484,6.54848484848485,0.05
31744064,EPLEY-MARTIN 31I,109H,41253.0,28659.92848452118,-12593.07151547882,-30.52643811475243,30.52643811475243,40087.67151776679,0.0977272727272727,9.772727272727275,0.0795918367346938
31744059,DAVIS-LACY 31G,207H,28855.0,21309.773819125952,-7545.226180874048,-26.148765139054053,26.148765139054053,71225.53096277418,0.4,40.0,0.6122448979591837
31744061,EPLEY-MARTIN 31C,103H,46336.0,35320.56109079088,-11015.438909209122,-23.77296035309289,23.77296035309289,23783.068470802333,0.0654848484848484,6.54848484848485,0.05
31744782,FORTUNE-ASHLEY 31M,213H,34514.0,26431.831067231647,-8082.168932768352,-23.41707403595165,23.41707403595165,15387.040872227411,0.0614545454545454,6.145454545454546,0.0795918367346938
31744056,DAVIS-LACY 31J,210H,15907.0,12354.858549276503,-3552.141450723495,-22.33068115121327,22.33068115121327,31105.999373310868,0.1178787878787878,11.787878787878787,0.05
31744052,EPLEY-MARTIN 31F,106H,24438.0,19769.849489352844,-4668.150510647156,-19.10201534760273,19.10201534760273,11977.235686297196,0.0614545454545454,6.145454545454546,0.05
31744068,DAVIS-LACY 31E,205H,26649.0,22638.304632305622,-4010.695367694374,-15.050078305731448,15.050078305731448,91298.66029016844,0.395969696969697,39.5969696969697,0.5530612244897959
31743566,WELCH-COX E39A,301H,8763.0,8275.541813149293,-487.4581868507066,-5.562686144593251,5.562686144593251,11474.84574113422,0.0936969696969697,9.369696969696973,0.05
31744051,EPLEY-MARTIN 31E,105H,51711.0,49901.46927449974,-1809.5307255002624,-3.49931489528391,3.49931489528391,5704.213893272955,0.001,0.1,1.5
31744072,DAVIS-LACY 31A,201H,38234.0,37725.20490884462,-508.795091155378,-1.3307398942181776,1.3307398942181776,48113.43632595873,0.4,40.0,1.0561224489795915
31743816,SCHARBAUER-DOVE 7D,4H,47441.0,49241.27786185324,1800.2778618532393,3.794772163009294,3.794772163009294,8443.604565136642,0.0211515151515151,2.1151515151515152,1.5
31743818,SCHARBAUER-DOVE 7F,6H,37665.0,41291.84147262334,3626.841472623338,9.629208741864698,9.629208741864698,9311.408712701274,0.0251818181818181,2.5181818181818185,0.0795918367346938
31743759,GLYNN-ATCHISON 44L,212H,20205.0,22446.081444230924,2241.081444230924,11.091717120667774,11.091717120667774,6293.772227216972,0.0695151515151515,6.951515151515153,1.5
31744060,EPLEY-MARTIN 31G,107H,23252.0,26706.544123224598,3454.544123224594,14.856976273974688,14.856976273974688,37319.84768395514,0.4,40.0,0.996938775510204
31744063,EPLEY-MARTIN 31H,108H,33117.0,39303.00898111108,6186.008981111081,18.679255310297076,18.679255310297076,5049.749123490411,0.005030303030303,0.503030303030303,0.05
31744407,DAVIS-LACY 31L,212H,38509.0,45889.300731040086,7380.300731040086,19.16513212765869,19.16513212765869,19641.53017148592,0.0493636363636363,4.936363636363637,0.0795918367346938
31744071,DAVIS-LACY 31B,202H,25850.0,33408.43639600744,7558.436396007441,29.239599210860508,29.239599210860508,13177.613905826762,0.0453333333333333,4.533333333333333,0.05
31743549,WELCH-COX E39V,322H,10686.0,15270.023573680732,4584.023573680732,42.89746934007797,42.89746934007797,42382.80752683351,0.1219090909090909,12.190909090909091,0.05
31743568,WELCH-COX E39T,320H,26184.0,53544.77253595703,27360.772535957032,104.49424280460218,104.49424280460218,6120.678205517792,0.001,0.1,1.5
31744069,DAVIS-LACY 31D,204H,12724.0,34686.6471324544,21962.647132454404,172.6080409655329,172.6080409655329,3967.379226016498,0.001,0.1,0.05
