district,lease_no,well_no,api8,county,horizontal_permit_match,wellbore_shutin_month,well_shutin_month,operator_no,field_no,first_prod_month,last_prod_month,lease_name,operator_name,field_name,well_count_on_lease,history_months,single_well_lease,first_prod_in_window,history_at_least_18_months,candidate_pass,completion_match_count,approved_completion_match_count,preferred_completion_status,preferred_completion_source,formation_records,production_interval_records,amount_material_records,interval_top_md_ft,interval_bottom_md_ft,interval_length_proxy_ft,final_control_failures,interval_distance_from_10000_ft,cohort_decision,cohort_reason,cohort_exclusion_codes,selection_rank
10,57694,108H,31744063,MARTIN,True,000000,000000,665748,85280300,202204,202606,EPLEY-MARTIN 31H,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,51,True,True,True,True,1,1,Approved,02-06-2023.zip,"W-2 Formation Data{282750{385143{444350{1{SANTA ROSA{1241.0{1241.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{282750{385143{444350{2{YATES{2636.0{2650.0{Y{{Y || W-2 Formation Data{282750{385143{444350{3{QUEEN{3470.0{3516.0{Y{{Y || W-2 Formation Data{282750{385143{444350{4{GRAYBURG{3919.0{3982.0{Y{{Y || W-2 Formation Data{282750{385143{444350{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4134.0{4216.0{Y{{Y || W-2 Formation Data{282750{385143{444350{6{SPRABERRY{7562.0{7733.0{Y{{Y || W-2 Formation Data{282750{385143{444350{7{DEAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{8{WOLFCAMP{{{N{DID NOT ENCOUNTER, DOES NOT EXIST IN THIS AREA{N || W-2 Formation Data{282750{385143{444350{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282750{385143{444350{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{282750{385143{444350{1{8204{18185{2{1{N,W-2 Amount And Material Data{282750{385143{444350{1{8204.0{18185.0{SEE FRAC FOCUS{2,8204.0,18185.0,9981.0,,19.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,1
10,57845,106H,31744052,MARTIN,True,000000,000000,665748,85280300,202209,202606,EPLEY-MARTIN 31F,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,46,True,True,True,True,1,1,Approved,01-20-2023.zip,W-2 Formation Data{281207{384828{441854{1{SANTA ROSA{1231.0{1231.0{Y{ESTIMATED{Y || W-2 Formation Data{281207{384828{441854{2{YATES{2648.0{2652.0{Y{{Y || W-2 Formation Data{281207{384828{441854{3{QUEEN{3484.0{3494.0{Y{{Y || W-2 Formation Data{281207{384828{441854{4{GRAYBURG{3935.0{3948.0{Y{{Y || W-2 Formation Data{281207{384828{441854{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4156.0{4170.0{Y{{Y || W-2 Formation Data{281207{384828{441854{6{SPRABERRY{7562.0{7587.0{Y{{Y || W-2 Formation Data{281207{384828{441854{7{DEAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{8{WOLFCAMP{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{9{CISCO{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{10{PENNSYLVANIAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{11{STRAWN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{12{MISSISSIPPIAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{13{DEVONIAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{14{SILURIAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{15{FUSSELMAN{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{16{ELLENBURGER{{{N{BELOW TD{N || W-2 Formation Data{281207{384828{441854{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{BELOW TD{N,W-2 Production Interval Data{281207{384828{441854{1{8829{18810{2{1{N,W-2 Amount And Material Data{281207{384828{441854{1{8829.0{18810.0{SEE FRAC FOCUS{2,8829.0,18810.0,9981.0,,19.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,2
10,57857,109H,31744064,MARTIN,True,000000,000000,665748,85280300,202209,202606,EPLEY-MARTIN 31I,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,46,True,True,True,True,1,1,Approved,02-06-2023.zip,"W-2 Formation Data{282796{385190{444351{1{SANTA ROSA{1241.0{1241.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{282796{385190{444351{2{YATES{2638.0{2644.0{Y{{Y || W-2 Formation Data{282796{385190{444351{3{QUEEN{3466.0{3502.0{Y{{Y || W-2 Formation Data{282796{385190{444351{4{GRAYBURG{3917.0{3976.0{Y{{Y || W-2 Formation Data{282796{385190{444351{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4140.0{4208.0{Y{{Y || W-2 Formation Data{282796{385190{444351{6{SPRABERRY{7557.0{7707.0{Y{{Y || W-2 Formation Data{282796{385190{444351{7{DEAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{8{WOLFCAMP{{{N{DID NOT ENCOUNTER, DOES NOT EXIST IN THIS AREA{N || W-2 Formation Data{282796{385190{444351{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{282796{385190{444351{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{282796{385190{444351{1{9415{19396{2{1{N,W-2 Amount And Material Data{282796{385190{444351{1{9415.0{19396.0{SEE FRAC FOCUS{2,9415.0,19396.0,9981.0,,19.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,3
10,59228,210H,31744056,MARTIN,True,000000,000000,665748,85280300,202212,202606,DAVIS-LACY 31J,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,43,True,True,True,True,1,1,Approved,01-30-2024.zip,"W-2 Formation Data{304681{412755{475932{1{SANTA ROSA{1223.0{1223.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{304681{412755{475932{2{YATES{2614.0{2619.0{Y{{Y || W-2 Formation Data{304681{412755{475932{3{QUEEN{3443.0{3453.0{Y{{Y || W-2 Formation Data{304681{412755{475932{4{GRAYBURG{3894.0{3906.0{Y{{Y || W-2 Formation Data{304681{412755{475932{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4107.0{4121.0{Y{{Y || W-2 Formation Data{304681{412755{475932{6{SPRABERRY{7535.0{7562.0{Y{{Y || W-2 Formation Data{304681{412755{475932{7{DEAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{8{WOLFCAMP{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304681{412755{475932{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304681{412755{475932{1{8785{18766{2{1{N,W-2 Amount And Material Data{304681{412755{475932{1{8785.0{18766.0{SEE FRAC FOCUS{2,8785.0,18766.0,9981.0,,19.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,4
10,59242,207H,31744059,MARTIN,True,000000,000000,665748,85280300,202301,202606,DAVIS-LACY 31G,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,42,True,True,True,True,1,1,Approved,01-30-2024.zip,"W-2 Formation Data{304625{412696{475836{1{SANTA ROSA{1223.0{1223.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{304625{412696{475836{2{YATES{2615.0{2625.0{Y{{Y || W-2 Formation Data{304625{412696{475836{3{QUEEN{2446.0{2480.0{Y{{Y || W-2 Formation Data{304625{412696{475836{4{GRAYBURG{3899.0{3946.0{Y{{Y || W-2 Formation Data{304625{412696{475836{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4118.0{4171.0{Y{{Y || W-2 Formation Data{304625{412696{475836{6{SPRABERRY{7541.0{7642.0{Y{{Y || W-2 Formation Data{304625{412696{475836{7{DEAN{8880.0{8982.0{Y{{Y || W-2 Formation Data{304625{412696{475836{8{WOLFCAMP{9096.0{9202.0{Y{{Y || W-2 Formation Data{304625{412696{475836{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304625{412696{475836{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304625{412696{475836{1{9656{19628{2{1{N,W-2 Amount And Material Data{304625{412696{475836{1{9656.0{19628.0{SEE FRAC FOCUS{2,9656.0,19628.0,9972.0,,28.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,5
10,59231,203H,31744070,MARTIN,True,000000,000000,665748,85280300,202301,202606,DAVIS-LACY 31C,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,42,True,True,True,True,1,1,Approved,01-30-2024.zip,"W-2 Formation Data{304522{412559{475645{1{SANTA ROSA{1227.0{1227.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{304522{412559{475645{2{YATES{2634.0{2646.0{Y{{Y || W-2 Formation Data{304522{412559{475645{3{QUEEN{3471.0{3505.0{Y{{Y || W-2 Formation Data{304522{412559{475645{4{GRAYBURG{3914.0{3959.0{Y{{Y || W-2 Formation Data{304522{412559{475645{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4136.0{4188.0{Y{{Y || W-2 Formation Data{304522{412559{475645{6{SPRABERRY{7564.0{7652.0{Y{{Y || W-2 Formation Data{304522{412559{475645{7{DEAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{8{WOLFCAMP{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304522{412559{475645{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304522{412559{475645{1{8816{18846{2{1{N,W-2 Amount And Material Data{304522{412559{475645{1{8816.0{18846.0{SEE FRAC FOCUS{2,8816.0,18846.0,10030.0,,30.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,6
10,59516,213H,31744782,MARTIN,True,000000,000000,665748,85280300,202303,202606,FORTUNE-ASHLEY 31M,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,40,True,True,True,True,1,1,Approved,02-05-2024.zip,"W-2 Formation Data{304704{412779{478154{1{SANTA ROSA{1224.0{1224.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{304704{412779{478154{2{YATES{2603.0{2612.0{Y{{Y || W-2 Formation Data{304704{412779{478154{3{QUEEN{3432.0{3467.0{Y{{Y || W-2 Formation Data{304704{412779{478154{4{GRAYBURG{3874.0{3923.0{Y{{Y || W-2 Formation Data{304704{412779{478154{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4083.0{4138.0{Y{{Y || W-2 Formation Data{304704{412779{478154{6{SPRABERRY{7518.0{7631.0{Y{{Y || W-2 Formation Data{304704{412779{478154{7{DEAN{8854.0{8967.0{Y{{Y || W-2 Formation Data{304704{412779{478154{8{WOLFCAMP{9075.0{9188.0{Y{{Y || W-2 Formation Data{304704{412779{478154{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304704{412779{478154{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304704{412779{478154{1{10550{20580{2{1{N,W-2 Amount And Material Data{304704{412779{478154{1{10550.0{20580.0{SEE FRAC FOCUS{2,10550.0,20580.0,10030.0,,30.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,7
10,56651,4H,31743171,MARTIN,True,000000,000000,665748,85280300,202201,202606,BOHANAN-BLOCKER 3B,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,54,True,True,True,True,2,1,Approved,02-10-2022.zip,W-2 Formation Data{260300{357680{409582{1{SANTA ROSA{1245.0{1245.0{Y{{Y || W-2 Formation Data{260300{357680{409582{2{YATES{2508.0{2516.0{Y{{Y || W-2 Formation Data{260300{357680{409582{3{QUEEN{{{N{NOT ENCOUNTERED{N || W-2 Formation Data{260300{357680{409582{4{GRAYBURG{3917.0{3943.0{Y{{Y || W-2 Formation Data{260300{357680{409582{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4101.0{4129.0{Y{{Y || W-2 Formation Data{260300{357680{409582{6{SPRABERRY{7398.0{7445.0{Y{{Y || W-2 Formation Data{260300{357680{409582{7{DEAN{8698.0{8746.0{Y{{Y || W-2 Formation Data{260300{357680{409582{8{WOLFCAMP{8907.0{8968.0{Y{{Y || W-2 Formation Data{260300{357680{409582{9{CISCO{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{10{PENNSYLVANIAN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{11{STRAWN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{12{MISSISSIPPIAN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{13{DEVONIAN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{14{SILURIAN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{15{FUSSELMAN{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{16{ELLENBURGER{{{N{NOT DRILLED TO THIS DEPTH{N || W-2 Formation Data{260300{357680{409582{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{NOT DRILLED TO THIS DEPTH{N,W-2 Production Interval Data{260300{357680{409582{1{9340{19376{2{1{N,W-2 Amount And Material Data{260300{357680{409582{1{9340.0{19376.0{SEE FRACFOCUS{2,9340.0,19376.0,10036.0,,36.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,8
10,59240,205H,31744068,MARTIN,True,000000,000000,665748,85280300,202302,202606,DAVIS-LACY 31E,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,41,True,True,True,True,1,1,Approved,01-30-2024.zip,"W-2 Formation Data{304586{412638{475735{1{SANTA ROSA{1227.0{1227.0{Y{ESTIMATED DEPTH{Y || W-2 Formation Data{304586{412638{475735{2{YATES{2633.0{2641.0{Y{{Y || W-2 Formation Data{304586{412638{475735{3{QUEEN{3472.0{3510.0{Y{{Y || W-2 Formation Data{304586{412638{475735{4{GRAYBURG{3923.0{3975.0{Y{{Y || W-2 Formation Data{304586{412638{475735{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4139.0{4197.0{Y{{Y || W-2 Formation Data{304586{412638{475735{6{SPRABERRY{7550.0{7660.0{Y{{Y || W-2 Formation Data{304586{412638{475735{7{DEAN{8887.0{9013.0{Y{{Y || W-2 Formation Data{304586{412638{475735{8{WOLFCAMP{9108.0{9344.0{Y{{Y || W-2 Formation Data{304586{412638{475735{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304586{412638{475735{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304586{412638{475735{1{9253{19292{2{1{N,W-2 Amount And Material Data{304586{412638{475735{1{9253.0{19292.0{SEE FRAC FOCUS{2,9253.0,19292.0,10039.0,,39.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,9
10,59221,211H,31744055,MARTIN,True,000000,000000,665748,85280300,202212,202606,DAVIS-LACY 31K,"PIONEER NATURAL RES. USA, INC.",SPRABERRY (TREND AREA),1,43,True,True,True,True,1,1,Approved,01-30-2024.zip,"W-2 Formation Data{304686{412760{475939{1{SANTA ROSA{1223.0{1223.0{Y{{Y || W-2 Formation Data{304686{412760{475939{2{YATES{2605.0{2608.0{Y{{Y || W-2 Formation Data{304686{412760{475939{3{QUEEN{3438.0{3443.0{Y{{Y || W-2 Formation Data{304686{412760{475939{4{GRAYBURG{3886.0{3893.0{Y{{Y || W-2 Formation Data{304686{412760{475939{5{SAN ANDRES - ACTIVE CO2 FLOOD; HIGH FLOWS; H2S; CO{4104.0{4111.0{Y{{Y || W-2 Formation Data{304686{412760{475939{6{SPRABERRY{7529.0{7537.0{Y{{Y || W-2 Formation Data{304686{412760{475939{7{DEAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{8{WOLFCAMP{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{9{CISCO{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{10{PENNSYLVANIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{11{STRAWN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{12{MISSISSIPPIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{13{DEVONIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{14{SILURIAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{15{FUSSELMAN{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{16{ELLENBURGER{{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N || W-2 Formation Data{304686{412760{475939{17{PRECAMBRIAN (UNDIFFERENTIATED){{{N{DID NOT ENCOUNTER, WELL IS NOT DEEP ENOUGH{N",W-2 Production Interval Data{304686{412760{475939{1{8436{18375{2{1{N,W-2 Amount And Material Data{304686{412760{475939{1{8436.0{18375.0{SEE FRAC FOCUS{2,8436.0,18375.0,9939.0,,61.0,INCLUDE,"Pioneer; Spraberry Trend Area; approved completion; single-well lease; horizontal permit; 2022-2023 first production; interval proxy closest to 10,000 ft",,10
